index,x_le_m,y_le_m,x_te_m,y_te_m,chord_m
0,0.0,0.0,1.4547497448558935,0.0,1.4547497448558935
1,0.031188186853103397,0.10346825625898057,1.1474402965290877,0.10346825625898057,1.1162521096759843
2,0.1784816433525365,0.2759153500239482,0.9562361178486116,0.2759153500239482,0.7777544744960752
3,0.21469526322671206,0.4244363076666223,0.9154334413571679,0.4244363076666223,0.7007381781304558
4,0.3995252750641871,0.6719712370710792,1.0232471568290236,0.6719712370710792,0.6237218817648363
5,0.46030686826082484,0.7946582523363146,0.9814221917045982,0.7946582523363146,0.5211153234437733
6,0.5526177676521706,0.9377931034790892,0.9711265327748808,0.9377931034790892,0.4185087651227102
7,0.6864277838269017,1.101375790499403,1.002329990628549,1.101375790499403,0.31590220680164716
8,0.8753218477950049,1.2854063133972562,1.088617496275589,1.2854063133972562,0.21329564848058408
9,1.1390415128862919,1.4898846721726484,1.2497306030458128,1.4898846721726484,0.11068909015952097
