index,x_le_m,y_le_m,x_te_m,y_te_m,chord_m
0,0.0,0.0,1.6000227450621083,0.0,1.6000227450621083
1,0.15103621402133754,0.17999778439583144,1.3910585323351836,0.17999778439583144,1.2400223183138461
2,0.3020724280426751,0.3599955687916629,1.182094319608259,0.3599955687916629,0.8800218915655839
3,0.4046523726006631,0.5799789019869068,1.1487180378001673,0.5799789019869068,0.7440656651995042
4,0.5072323171586511,0.7999622351821507,1.1153417559920757,0.7999622351821507,0.6081094388334246
5,0.5354492962784531,0.9599884489799114,1.0603461852620244,0.9599884489799114,0.5248968889835715
6,0.563666275398255,1.1200146627776721,1.0053506145319733,1.1200146627776721,0.4416843391337184
7,0.5918832545180569,1.2800408765754328,0.9503550438019222,1.2800408765754328,0.35847178928386525
8,0.6201002336378588,1.4400670903731934,0.895359473071871,1.4400670903731934,0.27525923943401215
9,0.6483172127576607,1.600093304170954,0.8403639023418198,1.600093304170954,0.19204668958415905
